AA,Republic of the Congo
CAA,Republic of the Congo Consul
DAA,Republic of the Congo Diplomat
SAA,Republic of the Congo Staff
AAD,Republic of the Congo UN Diplomat

AB,Senegal
CAB,Senegal Consul
DAB,Senegal Diplomat
SAB,Senegal Staff
ABD,Senegal UN Diplomat

AC,Côte d’Ivoire
CAC,Côte d’Ivoire Consul
DAC,Côte d’Ivoire Diplomat
SAC,Côte d’Ivoire Staff
ACD,Côte d’Ivoire UN Diplomat

AD,Burkina Faso
CAD,Burkina Faso Consul
DAD,Burkina Faso Diplomat
SAD,Burkina Faso Staff
ADD,Burkina Faso UN Diplomat

AE,Uzbekistan
CAE,Uzbekistan Consul
DAE,Uzbekistan Diplomat
SAE,Uzbekistan Staff
AED,Uzbekistan UN Diplomat

AF,Japan
CAF,Japan Consul
DAF,Japan Diplomat
SAF,Japan Staff
AFD,Japan UN Diplomat

AG,Ghana
CAG,Ghana Consul
DAG,Ghana Diplomat
SAG,Ghana Staff
AGD,Ghana UN Diplomat

AH,Madagascar
CAH,Madagascar Consul
DAH,Madagascar Diplomat
SAH,Madagascar Staff
AHD,Madagascar UN Diplomat

AJ,Panama
CAJ,Panama Consul
DAJ,Panama Diplomat
SAJ,Panama Staff
AJD,Panama UN Diplomat

AK,Cabo Verde
CAK,Cabo Verde Consul
DAK,Cabo Verde Diplomat
SAK,Cabo Verde Staff
AKD,Cabo Verde UN Diplomat

AL,Algeria
CAL,Algeria Consul
DAL,Algeria Diplomat
SAL,Algeria Staff
ALD,Algeria UN Diplomat

AM,Mali
CAM,Mali Consul
DAM,Mali Diplomat
SAM,Mali Staff
AMD,Mali UN Diplomat

AN,Niger
CAN,Niger Consul
DAN,Niger Diplomat
SAN,Niger Staff
AND,Niger UN Diplomat

AQ,Syria
CAQ,Syria Consul
DAQ,Syria Diplomat
SAQ,Syria Staff
AQD,Syria UN Diplomat

AR,Morocco
CAR,Morocco Consul
DAR,Morocco Diplomat
SAR,Morocco Staff
ARD,Morocco UN Diplomat

AS,Tunisia
CAS,Tunisia Consul
DAS,Tunisia Diplomat
SAS,Tunisia Staff
ASD,Tunisia UN Diplomat

AT,Nigeria
CAT,Nigeria Consul
DAT,Nigeria Diplomat
SAT,Nigeria Staff
ATD,Nigeria UN Diplomat

AU,Uganda
CAU,Uganda Consul
DAU,Uganda Diplomat
SAU,Uganda Staff
AUD,Uganda UN Diplomat

AV,Israel
CAV,Israel Consul
DAV,Israel Diplomat
SAV,Israel Staff
AVD,Israel UN Diplomat

AW,Ethiopia
CAW,Ethiopia Consul
DAW,Ethiopia Diplomat
SAW,Ethiopia Staff
AWD,Ethiopia UN Diplomat

AX,Marshall Islands
CAX,Marshall Islands Consul
DAX,Marshall Islands Diplomat
SAX,Marshall Islands Staff
AXD,Marshall Islands UN Diplomat

AY,Kenya
CAY,Kenya Consul
DAY,Kenya Diplomat
SAY,Kenya Staff
AYD,Kenya UN Diplomat

AZ,Tanzania
CAZ,Tanzania Consul
DAZ,Tanzania Diplomat
SAZ,Tanzania Staff
AZD,Tanzania UN Diplomat

BA,Gabon
CBA,Gabon Consul
DBA,Gabon Diplomat
SBA,Gabon Staff
BAD,Gabon UN Diplomat

BB,Cameroon
CBB,Cameroon Consul
DBB,Cameroon Diplomat
SBB,Cameroon Staff
BBD,Cameroon UN Diplomat

BC,Central African Republic
CBC,Central African Republic Consul
DBC,Central African Republic Diplomat
SBC,Central African Republic Staff
BCD,Central African Republic UN Diplomat

BD,Chad
CBD,Chad Consul
DBD,Chad Diplomat
SBD,Chad Staff
BDD,Chad UN Diplomat

BE,Rwanda
CBE,Rwanda Consul
DBE,Rwanda Diplomat
SBE,Rwanda Staff
BED,Rwanda UN Diplomat

BF,Burundi
CBF,Burundi Consul
DBF,Burundi Diplomat
SBF,Burundi Staff
BFD,Burundi UN Diplomat

BG,Democratic Republic of the Congo
CBG,DR Congo Consul
DBG,DR Congo Diplomat
SBG,DR Congo Staff
BGD,DR Congo UN Diplomat

BH,Egypt
CBH,Egypt Consul
DBH,Egypt Diplomat
SBH,Egypt Staff
BHD,Egypt UN Diplomat

BJ,South Africa
CBJ,South Africa Consul
DBJ,South Africa Diplomat
SBJ,South Africa Staff
BJD,South Africa UN Diplomat

BK,Zimbabwe
CBK,Zimbabwe Consul
DBK,Zimbabwe Diplomat
SBK,Zimbabwe Staff
BKD,Zimbabwe UN Diplomat

BL,Zambia
CBL,Zambia Consul
DBL,Zambia Diplomat
SBL,Zambia Staff
BLD,Zambia UN Diplomat

BM,Botswana
CBM,Botswana Consul
DBM,Botswana Diplomat
SBM,Botswana Staff
BMD,Botswana UN Diplomat

BN,Namibia
CBN,Namibia Consul
DBN,Namibia Diplomat
SBN,Namibia Staff
BND,Namibia UN Diplomat

BO,Angola
CBO,Angola Consul
DBO,Angola Diplomat
SBO,Angola Staff
BOD,Angola UN Diplomat

BP,Mozambique
CBP,Mozambique Consul
DBP,Mozambique Diplomat
SBP,Mozambique Staff
BPD,Mozambique UN Diplomat

BQ,Lesotho
CBQ,Lesotho Consul
DBQ,Lesotho Diplomat
SBQ,Lesotho Staff
BQD,Lesotho UN Diplomat

BR,Eswatini
CBR,Eswatini Consul
DBR,Eswatini Diplomat
SBR,Eswatini Staff
BRD,Eswatini UN Diplomat

DJ,France
CDJ,France Consul
DDJ,France Diplomat
SDJ,France Staff
DJD,France UN Diplomat

DL,India
CDL,India Consul
DDL,India Diplomat
SDL,India Staff
DLD,India UN Diplomat

FT,Qatar
CFT,Qatar Consul
DFT,Qatar Diplomat
SFT,Qatar Staff
FTD,Qatar UN Diplomat

PD,United Kingdom
CPD,United Kingdom Consul
DPD,United Kingdom Diplomat
SPD,United Kingdom Staff
PDD,United Kingdom UN Diplomat

TG,Canada
CTG,Canada Consul
DTG,Canada Diplomat
STG,Canada Staff
TGD,Canada UN Diplomat

TR,Italy
CTR,Italy Consul
DTR,Italy Diplomat
STR,Italy Staff
TRD,Italy UN Diplomat

WB,United Arab Emirates
CWB,UAE Consul
DWB,UAE Diplomat
SWB,UAE Staff
WBD,UAE UN Diplomat
